,Title,Review Text,aspect-opinion
10962,Exquisite!,"This is one of those rare garments that is actually as flattering on me as it looks on the model. just like the picture, it hangs like a dress and emphasizes my curves without seeming too revealing. the weight of the fabric creates graceful movement, while the loose cut keeps it cool and breezy. for reference, i am 5'4"" and curvy (34d, 35x28x39), and i ordered a small petite. this is a smaller size than i would wear in most styles, but it fits almost like it was made for me. the tie hits slightl","['weight- graceful', 'cut- loose']"
10964,Wonderful & comfy,"This lovely number met all my expectations. ordered an xl, and glad i did. the fabric and styling has flattering drape and it can be dressed up or worn for a casual night out. if it was available in another classic color, or a subtle neutral pattern i'd probably purchase a second one (hint hint retailer).","['number- lovely', 'fabric- flattering', 'pattern- neutral']"
10967,Super flattering romper,"You can?t go wrong with this one. it?s is super flattering. the size medium fit perfectly. for reference, i have a 38in chest (32 ff) and in the medium i was not over exposed, and it can be worn with a racing back bra with it not showing. i wish it came i more colors. please retailer?make this one in more colors.",[]
10969,Love it,I'm not a big fan of rompers but love this one. it is very flattering and comfortable. i love that you can dress it up with some heels and accessorizes or more casual with flats.,[]
10973,The best,"Okay, so i have an upcoming day of travel with four kids, a husband on crutches, and a flight leaving at 6am for which i have to leave my house at 4am, followed immediately by a le cirque show upon our arrival. i've been looking for something to wear during this chaos and this is it. the fabric is dreamy-soft, and the drape, perfect. yes, it looks like a dress, but i am happy for the conservative pants/jumpsuit it actually is. the pockets hold my phone without sagging, and i can wear sneakers du",['fabric- dreamy']
10979,Amazing comfy and a dream!,This fit me perfectly with a little room but think it's meant to be this way so easier to get on and off. this feels like a dream and is very good quality. definitely a heavier piece but i like that. it is so very flattering and drapes beautifully to hide my tummy. the back is adorable too! retailer hit it out of park with this one! grab it before it's too late! i'm a 36ddd and size 14 and the large fit perfectly,"['back- adorable', 'retailer-too late']"
10983,Love it!,"As everyone said, the fabric weighs and therefore the romper is flowing gracefully. and it is real soft. you can wear it without bra. it looks so flattering but still feels so comfortable. it is the reason that i placed an order online and it is also the first piece out of the package that i paired with excitement and went out full of contentment. the only thing is that i received mine with the place where the two bands meet with the back broken. i had to sew them all together. it almost felt li",['thing- only']
10988,"Great concept, but...","I really wanted to love this, but the length of the pants was so awkward and dowdy. if they were longer or shorter, this would be a win. nice fabric, not too clingy so it is attractive on top and hips.",['length-so awkward']
10990,Really happy!,"I love this! it is comfortable, flowing and reminds me of glamorous women in 1970's movies. i especially love that is completely looks like a shirt (its pants) because i don't have to worry about my skirt flying up as i race around the city. bra// no bra doesn't matter, which i love. as someone with a larger bottom then top and am pretty tall, i usually have trouble finding one piece items that aren't too short in the crotch/waist zone. very roomy without looking like a sack.",[]
10993,Great first romper,"I've never owned a romper, and never had any desire to. but the classy design in black, soft, flowy fabric reeled me in, prompting me to push my boundaries a bit. i'm so glad i did. i don't think i have any other piece of clothing that makes me feel so classy or so fun, and certainly not at the same time. i wear it to work in an office environment with a cardigan, and the cardigan goes off after work as i run errands or play with the kids. i love it!! (and it even has pockets - i'm a sucker for",['design- classy']
11002,Love it!,"Flattering, flowy, comfortable. the back strops have elastic so easy on and off. flows when you walk, the ties have two different types of black fabric, matching knit on one side, a matte crepe on the other. love the pockets, very versatile piece.","['strops- elastic', 'ties- different']"
11007,To cute!!!,"I went to my local retailer store on saturday to pick up some new cute things that i had my eye on.
after collecting the items i came in for i saw this romper! i tried it on and it was 'amazing""
 comfortable , soft and so versatile!!! bonus!!! i left so tremendously happy!! it will be a win for 
many years to come!!!!!!!!!!!",[]
11009,Rompers aren't for me,"I ordered this after seeing the rave reviews. it is not for me. just like the culottes i ordered, this romper makes me feel like a grandma. i said i'd recommend to others bc of the other reviews but again, this was not for me. i also didn't like the back of the romper. no way i could even get away with a racerback bra b/c it's so low cut. the good though- it is super comfortable and is a nice heavy fabric. tts also. i'm a med 8/10 and the medium was correct in this.",['medium- correct']
11012,Lovely dress for all seasons!,"This dress is fantastic! it's super flattering and very versatile. for reference, i am 5'4"" and 155 lbs, and usually a size 8 - 10 in retailer dresses. the size medium fit perfectly. highly recommend this item!",['dress- fantastic']
11013,Great spring/summer dress.,"I am excited for spring so i can wear this. i purchased the orange. it is actually more of a red, but i like it. colorful and flattering fit.",[]
11016,Fabulous!,"This dress is so comfortable and looks so good. i love the low back and the swing in the skirt. i ordered the tangerine, which is really more red than orange. this is a simple, slip-on dress, perfect for traveling as it doesn't wrinkle. i will wear this often when the warm weather arrives.","['dress-so comfortable', 'weather-often warm']"
11017,I love this dress!,"This dress is lovely. i'm tempted to buy it in all of the patterns that i like, but i'm forcing myself to be economical. (i check regularly to see if it's on sale, however! then they're all mine!)
this dress is soft, comfortable, classy, and has the unique feature of having a low-cut back. my only complaint is that the holes for the arms droop sometimes so reveal my bra. this could be from my shape, however, because i am rather busty. the dress runs true to size and is easy to clean. it's one o","['dress- lovely', 'dress-then soft', 'complaint- only', 'dress- true']"
11021,Flimsy material,"I returned this dress because the material is so flimsy and thin. i was expecting higher quality, especially for the price. i was disappointed. it is a pretty dress and fit great, but i felt like i was wearing tissue paper.",['material-so flimsy']
11025,Almost like raiding audrey hepburn's closet,"First of all a caveat, i am not curvy at all. i am average height but petite in terms of features and bones and such. specifically, i am 5 feet 6 inches tall and about 123 pounds and boyishly shaped with a feminine and timeless style. all this means that i can get overwhelmed by dresses/clothes with a lot of fabric or large prints and such. if you are shaped like me, this dress will be perfect for you! it highlights your advantages (slim and petite) and give you curves (that i wish i had natural",['dress- perfect']
11026,"Fun, flirty, summery - love the color","Sadly, i had to keep only a few dresses, not all of them, so that one is in my wish list if my xs petite goes on sale in red and blue, i am pal so that is hte better color for me. i have not seen the green in eprson, but the neutral color is very nice too, if you are not into red.

materila: thin-ish, strecthy, super comfortable, may be cool in a cold area though, brr.

fit: xs petite fit perfectly everywhere, surprisingly, the shoulders are capped sleeves, i dind't exepct having them ""fall'","['petite-only few', 'color- neutral', 'thin-ish-super comfortable']"
11030,Easy to wear dress,"Purchased the blue motif colorway which (as other reviewers mentioned) is cream, mushroom, black (heavier lines) and very dark navy (grid part). looks good with both my cropped and duster-length black cardigan. print is a nice balance between neutral and interesting. a lighter weight knit but still opaque and skims over (versus clings to) the body

the fit is very flattering and forgiving. the rushed midsection is cut higher and lower on the side seam to give a more hourglass line. the scoop b","['reviewers- other', 'balance- nice', 'fit-still opaque']"
11032,Easy summer dress,"This is a great throw in your weekend bag summer dress. it runs a bit large, especially on the top, but i'll make it work. back is a bit low, so a cardigan would be required for office wear.",[]
11033,Bit disappointed,"I wanted to love this dress, the open back, the lightweight fabric, and fun print. perfect for spring and summer. it could be i'm too tiny for this dress, but the front of the dress wasn't flattering. it just hung and there was an odd tuck in the waist that made it look like it ballooned out under my chest above my waist.","['front-too tiny', 'tuck-just odd']"
11034,Easy to wear dress,"I purchased this in the green. nice print, not overwhelming. slips on, hides a bra, and was simply comfortable to wear. can easily be dressed up or down, but i was looking for a dress that i could slip on at the last minute to go out to dinner with friends. i took it on a trip to florida, and it did not wrinkle in my suitcase. what more can you ask for?",[]
11035,Love this dress,This dress is so flattering and comfortable. i got the green which is not too green. this is the perfect dress for a spring day and can be dressed up or dressed down.,['dress-so flattering']
11038,Beautiful dress,"This dress is one of my new favorites. i usually wear a medium petite but had to size down in order to get it to fit properly. i was able to get the green one, while visiting in san francisco. i wish more stores had a petite section! it was great to be able to try things on!!!","['dress- new', 'stores- more']"
11039,Throw it on and go,"Since there were so many colors to choose from and the 20% full priced items sale was going on, i went in person to retailer to check these great dresses out. glad i did! online i was torn between several prints, but in the dressing room, there was a clear winner for me (just for personal preference. the prints are still all great!). these dresses are so flattering and comfortable. great with a cardigan or jacket for work or sandals for the weekend. definitely tts. i am pretty much always a m in e","['colors-so many', 'sale- full', 'winner-online clear', 'prints-all great', 'dresses-so flattering']"
11041,My wife loves this dress!,"I bought this dress because i thought it would look good on her, and it does.",[]
11042,Unreasonably flattering,"To my knowledge this dress looks great on everyone. the fabric is light and of moderate quality, the finishing is acceptable. a great basic.","['dress- great', 'fabric- light', 'finishing- moderate']"
11043,Very pretty fress,"I got it in tangerine. beautiful, soft material, very flattering and cute dress. i am petite, so i will have to do some alterations to make the top port shorter, but other than that it's a perfect dress.",[]
11045,Pop of posey,"I was so excited to order this dress; however, once it arrived, i realized that the fit doesn't work for me. i carry my weight in my stomach and backside, and the dress clung to my trouble areas.",['fit-so excited']
11050,So flattering!,"This is the most flattering dress i have bought in years. the fact that it's machine washable was a huge plus. fabric is so comfortable and the length is perfect! i wear either m or l and went with the large for a little extra room, but either would have fit well.","['fact- washable', 'fabric-so comfortable', 'length- perfect']"
11051,Beautiful summer dress,"I saw this dress online and drove to the store to try it on. i love it! i bought the tangerine color which is really red and blue (not black). i am 5'7"", 130 pounds, 34b and i got the xs. the small was too loose in the upper portion and the arm holes were big, like another reviewer reported. i have a long torso and the dress fit perfectly. it's a lovely, soft fabric and i will take it traveling with me as it won't wrinkle (and it's washable).the back is cut low, but surprisingly my bra didn't sh","['holes-too upper', 'reviewer- big', 'dress- long']"
11052,Great movement,"Beautiful, washes well in a garment bag on delicate. has little clips in the shoulders to hold bra straps which is crucial with the scoop back if you have sloped shoulders like mine. i normally go for a large, but was definitely a medium in this dress. 32"" waist, 32f bra, 
only minor complaint is that the pattern (at least on the red, though probably also on the others) is just printed on the outside and the inside is faded almost white, so since the sides of the dress are slightly longer than","['waist-only minor', 'sides-almost white']"
11053,"Super flattering, beautiful dress","This is my favorite dress i've bought in the past year! it is super flattering and can be worn for work or casual wear. the fabric is soft and comfortable. can't wait till the weather gets warmer so i can start wearing it regularly!

i'm 5'5 145lbs, 37-29-39. i got the medium petite and it fits perfectly!","['fabric- soft', 'weather- warmer']"
11054,So fun and pretty!,"I had to return my original order to size down - the bottom half was fine with either size, but the medium was baggy in the back torso area. (i'm 5'8"", 150#). i bought the ""tangerine"" version, which really is more red than orange. it's versatile and can be paired with various third pieces and shoes. i do have a long torso and this waist is a bit short on me however.","['half- bottom', 'medium- fine', 'waist- long']"
11055,"Feminine and flattering, love this dress!!","Green- feminine and flattering, love this dress!!",[]
11056,Great dress but heavy material,I just received this dress and tried it on. it's a nice dress that is flattering but the material was much heavier that i expected it to be. it's way to heavy to wear in the florida heat so unfortunately it's going back.,['material- flattering']
11058,Lovely lines,"This dress is gorgeous and has beautiful lines. it is a little on the big side, but the fabric drapes enough that it doesn't matter.","['dress- gorgeous', 'fabric- big']"
11059,Great fit & feel,"I love this dress and will be purchasing it in other patterns. the fit is incredibly flattering and the fabric is lovely. doesn't wrinkle, easy to wash and wear. i am 5'7, 190lbs, bottom heavy with a 38c bra size. i purchased the size large and it fits me perfectly (though perhaps a little bit snug in the waist). if i wanted a looser fit, an xl would probably work though might be a bit loose on the top. the low back hits just above my bra strap, but does in fact cover all straps. for reference,","['fit-incredibly flattering', 'fabric- lovely', 'xl- looser', 'back- low']"
11060,Buy it!,"This dress is amazing! ordered one with a discount (the dark blue with flowers print) and it was becoming my go-to for work so had to bite the bullet and order two other colors full price. size m fit perfect 5'7"" 150#","['dress- amazing', 'm- perfect']"
11061,Easy comfortable dress,"Purchased dress in blue motif. love it. it is casual and comfortable, no fuss dress. love the sexy open scoop back that is just high enough to comfortably cover my bra strap.",[]
11062,Gorgeous dress,"I am so glad i returned this dress for a size down. i am 5'10"", and 160 lbs (curvy and muscular build), and the medium was surprisingly much too large on me. i returned it for a small, and oh my, it is perfect. i plan on wearing this to two summer weddings this year, and will then wear it for work. it really is a go-anywhere-do-anything sort of dress.",['medium- muscular']
11064,Perfect!,"This is a perfectly lovely jersey dress. it's really comfortable, true to size and the cut is flattering. you can wear it to work with heels or to the playground with your kids in sneakers or sandals. i didn't want to take it off. sizing is straightforward on this one: just order your regular size. there's nothing tricky about sizing. the xxsp (my regular size, depicted here), was just above the knee and not quite as long as the product description. great buy. waiting for boston weather to coope","['cut-really true', 'sizing- straightforward', 'xxsp- regular']"
11065,Very flattering,This dress is flattering in so many ways. fitted through the bodice with a lovely flare from the waist down to cover those hippy hips. sizing is perfect. i also bought it in the navy/black color. you can dress up with heels or down with flip flops.,"['dress- flattering', 'sizing- perfect']"
11066,I own three,"I bought this dress in three different patterns, i love it so much! i am 5'7"" and around 135 pounds. usually a size six or eight in dresses. ordered the small and fits perfectly if a little bit. curvy frame. great for women on the busty side. fits beautiful and is stretchy but not too clingy.",[]
11068,"Feminine dress, size down","I've had this dress for a while now and waited to write a review, glad i did. i originally ordered the mp, 5'5"" 130 lbs. while it looked nice - accentuated my waist it was a bit big in the chest area. it probably would have been ok but i am picky about fit. after debating for awhile i ordered the sp and it fits much better! when i pulled it out of the package i was worried it was too short but it's not. it hits right above my knee. in fact i compared both dresses and there is not much of a diffe",[]
11070,Great dress!,Super easy and cute. i received lots of compliments!,[]
11071,Perfect if you have curves,"I ordered this dress the instant it appeared online, hoping that 'tangerine' would mean red, and not orange. and, what luck! it was the perfect red for my coloring - nothing orange or bricky, it was a true red. the background color is actually a deep navy, but it looks almost black in some angles. the fabric is super comfortable. it's long enough for work, easy and fun enough for a date, and perfect for spring-summer months. 

my only problem with it is the top is too large. i am a 34-a, 5ft-3","['tangerine-online red', 'color-actually deep', 'fabric-super comfortable', 'problem- only', 'top-too large']"
11072,This product fabric feels great.,"It slips on easily, is soft & flattering. it will definitely be my ""go to"" dress.",[]
11073,Pretty for spring and summer,"I love the green pattern. the fabric hangs and moves beautifully. thick enough to cover undergarments without slip or liner. ballet back is nice detail. i'm curvy and generally between s and m, s has a little room to spare. generally flattering piece. great for summer!",['back- nice']
11074,Love it!,"This dress is soft and comfortable. it's perfect for summer. i ordered my usual size 4 petite and it fits perfectly. 34"" 26"" 5'1""",['dress- soft']
11076,A new favorite!,"I absolutely love this dress. the color is beautiful, the fit is flattering and it is so comfy i didn't want to take it off until bedtime. it is an all around winner. if i could do one thing to make it absolutely perfect i would take and inch or two off the hem. i am think of doing that but seriously i am not sure i want to have it out in alterations when i could be wearing it, it is just too comfy and cute!","['color- beautiful', 'fit- flattering']"
11078,Cute summer dress!,"The petite was a little bit long on me (i'm 5'2), but it otherwise fits true to size and is very soft and comfortable, breezy. covers enough that it is work appropriate or for something outside. a keeper!",['petite- little']
11080,Easy and pretty,"This dress is very comfortable, lovely, and versatile. i know i will wear this often throughout the spring and summer months because of it's elegant ease. i purchased a small and am a 34c and 28 waist; fits perfectly.",['dress-very comfortable']
11081,"Comfortable, easy dress","What i love especially about this dress are the comfortable, soft fabric and the shape of the back -- the scoop and longer back hem are very ballet dancer! the green & off white print is very pretty for spring. sizing is a little tricky for me as i'm between petite and regular sizes. the hem length in the sp is perfect, about 1.5"" above the knee in front, but the waist sits a little high. the top seam of the waist section is above my natural waist, and the bottom seam sits right under my navel s","['scoop-especially soft', 'print-very white', 'sizing- little', 'length- perfect', 'waist- little', 'seam- top', 'seam- bottom']"
11082,Love this dress!!,"Beautiful dress!! i love this and am tempted to buy it in more colors. fits true to size, in a flattering way. love the cut of the back and the flow of the bottom.",[]
11084,Cute and comfy,"This dress is nicely made and hangs beautifully. i did find the shoulders a bit too wide even though i have pretty broad shoulders. then again, i'm also pretty tall and the length on this dress is really nice, so i'll take the slightly wide shoulders. the low back and gathered waist are very flattering. a perfect dress to wear in the summer!","['length-pretty tall', 'back- low']"
11085,Just right,"Great dress, comfortable to wear and flattering, with the stretch cinch waist and the soft flare of the skirt i feel flirty and fun with its open scoop neck and dipping back. plenty of space and simplicity to accessorize or not. i bought it in black/white and red, each with its own feel.",[]
11086,Extremely flattering and comfortable,"Love love love! i'm 5'8"", 122 lbs, 34b, and have an athletic frame (fairly narrow hips) and i bought an xs (in red.) usually i am a s with retailer for dresses (although occasionally a m for slimmer dresses), but i found that the top part of this dress required me to size down to an xs as the low back-design of the dress fit too loosely with the size s--it hung so that it showed my bra straps and the sleeves were a tad baggy under the arms, showing about 2"" of bra underneath. my guess is that if y","['part-occasionally top', 'sleeves- low']"
11088,Flattering on all figures,I purchased the green dress. it is very comfortable and soft. is as pictured. highly recommend for a casual everyday dress. looks like good quality. which it is. i ordered petite small. it is perfect size. i'm usually a 6p.,[]
11216,Unflattering fit,"This dress runs a bit small. the large arm holes were unflattering to my small chest. also, this dress seemed to make my belly protrude. it kind of made me look pregnant in a way that no other dress has! i could see this dress being flattering on someone with a very flat stomach or a large chest. not me!!","['dress- small', 'holes- large', 'dress- other']"
11222,Beautiful dress,"Beautiful dress, stretch material makes sure it fits the figure nicely. great value.",['material- Beautiful']
11230,Figure forming,"I do recommend this dress with some caveats. 1: it'll be difficult to find a bra that won't show straps, and 2: it's very figure flattering so if you're body conscious, particularly tummy",[]
11231,Very snug,"I tried this on in the store in a size 4, and it was too tight. i'd need a 6 or possibly a 8, if i wanted a little room. (the store didn't have either.) though it was too tight, it was very flattering and more comfortable than i assumed. the neckline is a little awkward. the front straps of my racerback bra peeked out the sides. this might not be an issue with a bigger size.","['neckline- little', 'straps- front']"
11400,A gorgeous swing dress,"This is an amazing summer dress! so pretty it stood out even though only a few were left on the rack. it's light, airy and perfect even for the hottest summer days. the straps are not adjustable but for me the dress was not too low and it fit just like on the model pictured. a very thin belt comes with it but adds nothing ,only detracts. i am usually a s or m in retailer sizing and the s was perfect. 
 ( for ref. 5'7', 140 lbs) this dress is so flawless and beautiful and i feel wonderful wearing","['straps- adjustable', 'dress-too low', 'belt-very thin', 's-usually perfect', 'dress-so flawless']"
11401,Very flowy,This dress has way too much material. the material is really soft and beautiful but there's too much of it. it feels like you're wearing a big sack. sadly i'll be returning it.,"['dress-too much', 'material-really soft']"
11402,Love this dress,"I am a petite girl, 5'2""/105 lbs- i bought size s and it fits me just right. i love the way the fabric feels on my body. i tried this dress with flat shoe and it doesn't make me look short. the colors are vibrant but not too bright which makes it perfect for any time of the year to wear.",['colors- vibrant']
11403,Couldn't send it back fast enough!,"Unlike the other two reviews , i found this dress horrid. i ordered a xs since i am between that and a s. it was just too much fabric for me. . i have a small frame, so it was just so overwhelming, the armholes were big and i felt like i had a bag on me. colors were nice and fabric was soft and light.. the belt made no sense as others have said. length was good. i tried it on as soon as i got it and couldn't take it off fast enough. i literally ran to the post office and back it goes. this is my","['armholes-so overwhelming', 'colors- nice', 'fabric- soft', 'length- good']"
11404,Swing dress,When i received the dress i went to try it on and one of the loops for the string to cinch the dress broke. guess that's gonna have to go back,[]
11405,"All occasions, all beautiful, all quality","I tried on almost every dress in the shop today, and this is the dress. as soon as i tried it on i started twirling around. i felt beautiful and i couldn't stop smiling. my mother said that it makes my blue eyes glow. it flatters my figure by hanging perfectly across my bust-line, floating over my curves, and camouflaging my little unappealing bumps. also, the dress is cut nicely under the arms which allows coverage for a strapless bra. i chose the medium size even though i usually wear a large",['mother- blue']
11406,I love this dress so much i almost said a bad word,"Omg, i am 5'8 size 14, big hips and i simply love love, love this dress! when i first saw myself in the mirror i just loved the way it fell and gypsy style of it. the material is rich and soft. i caught it on sale under a hundred bucks and it is more than worth it!",['material- rich']
11407,Beautiful dress,"Found this dress on the sale rack, but the store did not have my size. fortunately they were able to order & ship it free. the colors & fabric caught my eye right away. it reminds me of a vintage apron print, but in a good way. i'm tall with a long torso & i
had to lower the waist tie.",[]
11408,Perfect for that weird pregnancy phase...,"... between looking fat and looking like you have a human being on tap (which is way longer than you would imagine). another reviewer mentioned that this makes your boobs look huge when cinched which is true, and also ok since my boobs are huge now. if i wasn't pregnant i'm not sure i would go with this because it definitely has a lot more fabric to it than the model photos make it appear, especially when you cinch. but for 6 months pregnant, this dress made me feel fab.u.lous since it toned dow","['reviewer- huge', 'boobs-also ok', 'photos-definitely more', 'dress- pregnant']"
11410,Too flowy,The pattern and fabric on this dress are very nice. there is just too much fabric. it's much too baggy but could make a nice maternity dress. i'll be returning it.,"['pattern-very nice', 'fabric-too much']"
11411,"Love the print, hate the fit","I have a love-hate relationship with this dress. the fabric and print are beautiful but like most swing styles, this dress doesn't work if you're curvy. tried on an xs in the store which was huge, ordered an xxsp, the length was perfect but the dress does nothing for a pear-shape. looks marginally better cinched in with the belt but i was lost in all the fabric and the skimming nature of the dress did nothing for me. as my boyfriend said, ""that looks like something you'd wear if you were pregnan","['fabric- beautiful', 'dress- most', 'length- huge', 'dress- perfect', 'boyfriend- pregnan']"
11412,Disappointed,I was so excited to get this dress. i saw someone try it on in the store and waited all season for it to go on sale. i loved it except for the seam that was right at the neckline in the front. they didn't even try to match up the fabrics. it was so obvious and cheap looking that i had to send this dress back. so sad!,[]
11413,Absolutely love this dress,"Love everything about this. i bought this after reading other reviews. beautiful fabric, i'm 5'10"", 135 and bought the small and fits perfect. it's great with heels or flats... seriously just makes you want to twirl, dance, skip, you name it.",[]
11414,Absolutely  georgeous!,"I bought this beautiful  dress at the store yesterday and had some assistance from staff,  which was great.  the tie,  that another reviewer referred to, is essential,  i believe.  when tied in the back,  slightly high and sinched just enough to define smallest part of waist,  it falls beautifully and frames the center panel perfectly.  i, personally,   would never cut the tie off.  at least try it this way before making that decision.",['reviewer- essential']
11415,Too much fabric,"As soon as i saw this dress i ordered it...i didn't want to miss out on it. i loved the look...the colors were so fun and bright...i thought it was going to be my perfect dress for an upcoming trip to hawaii. i am 5'4"" about 118#. i ordered a pxs. when it arrived i loved the feel of the fabric and the colors but was wondering what it would look like on as it was a lot of fabric. i know it is to be flowing but on me it was just awful. part is that the ties on the shoulder are sewn in place so i c",['colors-so fun']
11417,The petite fits great,"Got the petite size. dress is swing style, so extra fabric is expected. can wear a nude bra or strapless. dress is beautiful in person, more so than online. very comfy and stands out without being flashy, just pretty and different. nice silk (matte, not shiny).","['dress- style', 'dress- beautiful']"
11418,"Gorgeous, flattering dress","This dress is soft, comfortable, beautiful and drapes so nicely - not tent-like at all. i wasn't sure about sizing, and went with some reviewers who recommended sizing down, but the small in the strap/underarm area so i am exchanging for my usual medium. as another reviewer noted, you cannot adjust the straps, they are stitched together not tied together. i considered having it altered but was assured there are plenty in stock. i cannot wait for it to arrive! perfect for summer, or fall with a c",['dress- soft']
11419,Good enough,"I purchased this dress as an easy option to throw on after the gym or on a weekend trip without fuss. the fabric is soft, hangs well, and it is well-lined. but it's also a little more bilious than perhaps necessary to be beautiful and flowing. as in, i'm very comfortable in this dress, but it's not a dress i receive compliments while wearing. perhaps it reads as maternity wear without the belt.",['fabric- soft']
11420,I found it unflattering,"I am a curvy size 8. i loved the colors but found it looked maternity when unbelted and there was too much bunchy fabric at the waist when tied. i tend to like things that emphasize my waist, however.",['fabric-too bunchy']
11422,Beautiful unique dress.,"Beautiful colors in this dress that can be worn as a swing dress, belted with the tie, or tied in the back. stunning!",[]
11423,I really wanted this to work...,"But like other reviewers said, it looks nothing like the picture of the model. i am 5'3"" and 110 lbs, i usually wear an xs in maeve and i ordered the xs petite - the straps are not adjustable so the top part of the dress is up too high and then there is just so much material, it looks like i'm 6 months pregnant. and i usually love loose dresses like this, but the way this falls really does make you look like you are hiding a sack of potatoes. so bummed, because the material is beautiful and i lo","['reviewers- other', 'straps-usually adjustable', 'part-so top', 'material-so much', 'way-usually loose', 'material-so bummed']"
11425,Love it,"This is a perfect dress for summer in florida. it does run larger than it needs to be, even for a swing dress. no problem, i took in the sides several inches on each side, and it looks great. it's very easy to pick the stitches on the straps and make them adjustable.it has a nice, lightweight full lining. my new favorite dress.",[]
11426,Lovely summer dress,"I fell in love with this dress when i saw it. i love the colors and pattern. i've just been on the fence whether it complements my hippy frame. i'm a size 8/10 right now. i do like it with or without the tie for different effects. one concern is that the website says hand wash and the tag on the seam says dry clean only. i usually don't buy dry clean clothes, but might make an exception for this one.",['tag- dry']
11427,"Close, but no","I really, really wanted to take this home with me but decided against it. from the front this dress looks amazing when it was belted and i love the colors in it. however, it bunched like crazy in the back. i tried it without the belting and it just hung like a sack and was completely unflattering. if there were some way to get rid of the bunching in the back then i would have taken it home. but with the cost of the dress, i can't justify taking it to a tailor so it stayed. sigh. so close.",['dress- amazing']
11428,Gorgeous silk pattern,"Everything about this dress is perfect for my body type.  i used the tie belt as a cinch to gather the fabric and made the silhouette into a loose fit & flare.  i have a large upper body and small lower half so maybe the excess fabric balances out my body but looks terrible on other shapes.  i am 36dd 140# 5'3"" and i purchased the medium petite.",['fabric-maybe excess']
11429,Tricky to wear,I am torn about this dress. the print is very pretty and the fabric has a gentle flow to it. the top part is great but the portion below the chest reminded me of a tent. it is tricky to pull off if you are well-endowed on the top or wear a padded bra. i liked the look better when i tied it at the back with the ultra-thin belt straps which gave some shape to the waist. i agree with the other reviewer that a slim person could carry the look well. i usually don't return online purchases unless they,"['fabric-very gentle', 'part- top', 'portion- great', 'person- slim']"
11477,Beautiful pattern,I love this dress. i read the reviews on it before i purchased and they were spot on. i have broad shoulders so i ordered the large. it was still plenty roomy but i wore a royal blue sweater with it and it pulled the waist in just enough to make it fit without a belt. i would buy it again!!,[]
11478,Gorgeous dress- runs large,"This is not my usual style, but the print is gorgeous and the dress is really high quality. i'm glad i purchased. it definitely runs big- i am usually an xs or s depending on brand but i ordered an xs p. it fits pretty well and falls at the perfect length just above my knees (i'm 5'3, 110). it's a little shapeless still but that's the look. i'm still sort of wondering if i should have gotten an xxs but the xs p definitely works especially for the length. can't wait to wear this. amazing sale pri","['print- usual', 'dress- gorgeous']"
11483,Great dress!,"It runs a little large, i got a small and it was still a little large in the shoulders (but maybe that is just my body type). otherwise i love this dress!",[]
11484,"Weird, unflattering cut","I wanted to love this dress so much so that i ignored earlier reviews and purchased it in two sizes to see if i could make it work. the fabric is gorgeous, but the fit was very unflattering. it's too large on top and hangs awkwardly in both sizes. i considered tailoring to make it work but with this pattern i felt like that would be a compromise. in the end i returned both sizes ast the fabric couldn't compensate for the very unflattering fit.","['fabric- gorgeous', 'fit-very unflattering', 'fabric-very unflattering']"
11485,Pretty but odd fit,"The fabric is nice and could pass for silk even though it is viscose-rayon. the pattern is pretty and flattering. sadly, the fit was just off- big in the center but tight at the hips. if i size up the v-neck might be too wide. i'm disappointed that i'll have to return it. it probably would look great on a different body type. i would recommend it for apple body types but not for pear body types.","['fabric- nice', 'pattern- flattering', 'fit-off big']"
11486,Light up the room!,"I adore this dress! it's so charming. great quality, lovely fabric, beautiful color. the fit is supposed to be boxy and probably won't work on a beautiful curvy body. with a petite athletic body, i feel beautiful in it! i wear a small or xs and i definitely needed an extra small. pair it with black or camel, sandals or boots, it's lovely!",['fit- boxy']
11493,"Pretty colors, but fits like a sack","It made me look extra thick in the middle--could pass for maternity wear. pretty colors. fabric is fine. it's just too shapeless and not flattering on me. i'm 5'11"" and it was also on the short side for me. even if it fit better, probably too short for my age (40s).",['fabric- fine']
11494,I'm confused,"Let me start with: i love this dress --- but i'm totally confused. there is a pleat in the center of the dress, which if you look at the first photo on retailer's website, you can see that the model has the pleat in front, but when i recieved the dress, the tag is on the pleat side, meaning if you put the pleat in front, you're wearing it backwards. then other pictures show the model with no pleat in front, i tried it both ways and neither way felt wrong --- i thought it would fit funny if i flipp","['pleat- first', 'pictures-then other', 'way- wrong']"
11496,Love this dress!!,This dress is wonderful. fits perfect. very comfortable. wonderful colors.,['dress- wonderful']
11499,"Cute print, no shape",I was excited about this dress because i love the colors and print. the dress has no shape though and not in a good way. it's not flowy enough for the look of a shape dress but its not fitted enough to be flattering.,['dress-though good']
11501,"Beautiful dress, but runs large","Great quality, beautiful print, definitely a steal given its current sale price. it does run large. order a size smaller. works perfect with a belt!",[]
11502,Beautiful dress,"This dress is gorgeous and feels so soft! looks great with booties and flats! can be paired with so much! jackets, scarfs, long necklaces! so glad i bought it! i did down size to a small from my usual medium! and got the regular instead of petite! fit great",['dress- gorgeous']
11503,Lovely worn as a tunic or dress,This tunic is lovely and versatile. looks great over a pair of jeans or as a dress!,['tunic- lovely']
